Designator,Footprint,Quantity,Value,LCSC Part #
BMDU,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
"BOOT, RESET",SW_SPST_EVQP7A,2,SW_Push,
"C10, C12",0402,2,22uF,
"C11, C15, C16, C17, C18, C19, C2, C21, C23, C5, C7, C8",0402,12,100nF,
"C13, C14",0402,2,10pF,
"C22, C3, C6, C9",0402,4,1uF,
D1,LED-APA102-2020,1,APA102-2020,
"J2, J3",PinSocket_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
R1,0402,1,10ohm,
"R2, R3",0402,2,10k,
"R4, R5, R6",0402,3,220ohm,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12mhz ABM8-272-T,
