Designator,Mid X,Mid Y,Rotation,Layer
BMDU,117.0,-102.5,180.0,top
BOOT,118.3,-111.0,0.0,top
C10,125.0,-86.5,0.0,top
C11,115.5,-98.0,180.0,top
C12,132.0,-98.5,0.0,top
C13,123.5,-104.0,90.0,top
C14,128.5,-104.0,90.0,top
C15,125.0,-87.5,180.0,top
C16,121.0,-97.5,0.0,top
C17,132.0,-97.5,180.0,top
C18,121.0,-94.0,0.0,top
C19,128.5,-102.0,90.0,top
C2,130.0,-91.0,270.0,top
C21,131.0,-101.0,180.0,top
C22,129.5,-102.0,90.0,top
C23,117.15,-93.5,0.0,top
C3,129.0,-91.0,270.0,top
C5,128.0,-91.0,270.0,top
C6,127.0,-91.0,270.0,top
C7,132.0,-94.0,180.0,top
C8,126.0,-90.0,270.0,top
C9,125.0,-89.5,270.0,top
D1,117.65,-95.67,0.0,top
J2,110.525,-99.03,0.0,top
J3,136.0,-99.03,0.0,top
R1,131.5,-92.5,180.0,top
R2,115.0,-96.5,90.0,top
R3,121.0,-92.5,180.0,top
R4,120.15,-96.5,180.0,top
R5,120.15,-95.5,180.0,top
R6,119.0,-92.51,90.0,top
RESET,129.0,-111.0,0.0,top
U1,126.5,-96.5,90.0,top
U2,119.0,-88.5,270.0,top
Y1,126.0,-103.35,270.0,top
